fidu,Field,NI,ND,NM,NL,NT,CI,CD,CM,CL,CT,EI,ED,EM,EL,ET,ECe18,ECa18,ECeg18,CRI,CRD,CRM,CRL,CRT,CCI,CCD,CCM,CCL,CCT
185,Muth3,0.250375926,1.246505708,3.323849678,1.484501868,6.30523318,0.75990665,1.681012392,3.574445307,3.362204016,9.377568365,3.154626941,23.45558743,23.06953706,4.137211632,53.81696306,2.988862991,0.876443558,2.595487595,0.611327785,0.205117343,0.097941183,0.420851077,0.234930499,-0.295574051,0,0.248284319,0.252711066,0.05615942
261,Muth8,0.165309057,0.947210669,2.983135879,0.851063505,4.94671911,0.720510662,1.624527275,3.506938339,2.872115969,8.724092245,2.262515297,14.51951863,13.44291825,1.619485271,31.84443744,5.300629616,1.03499527,4.067279816,0.721242211,0.507950352,0.474358636,0.773295825,0.547295007,0.070807369,0.209121603,0.56196553,0.707478483,0.441513036
262,Muth8,0.157261789,0.901493937,3.100415706,0.895037249,5.054208681,0.718050361,1.600276828,3.498290419,2.91016841,8.726786018,1.926387863,13.92288097,13.77610225,1.370876577,30.99624766,5.010047436,0.978645096,3.799653769,0.762655473,0.52816971,0.461330564,0.808097394,0.559352992,0.208851578,0.241620465,0.551108804,0.752383734,0.456388568
263,Muth8,0.159736425,0.90316914,3.13018006,0.895195514,5.088281139,0.724487722,1.616718948,3.472234845,2.914651216,8.728092731,1.754292136,14.00639385,13.49855094,1.286073657,30.54531058,3.874403954,0.782318344,2.753726006,0.783858877,0.525339555,0.472183301,0.819968558,0.565763577,0.279529589,0.237071517,0.560152751,0.767701366,0.464297091
264,Muth8,0.166508541,0.928319142,3.107259036,0.891869201,5.09395592,0.727228403,1.633359968,3.546379686,2.903997302,8.810965359,1.726381556,14.18497863,13.13532557,1.202400035,30.2490858,3.132390976,0.655979996,2.07033205,0.787297656,0.519287524,0.486386041,0.831681638,0.56997475,0.290992188,0.227344002,0.571988368,0.782815017,0.469492274
265,Muth8,0.166373909,0.964383125,3.15865922,0.906866788,5.196283042,0.72204113,1.613264322,3.548787415,2.910316944,8.794409811,1.718254259,14.4823611,12.88178804,1.14011775,30.22252114,2.967243671,0.584813576,3.043496609,0.788298996,0.509209577,0.496299798,0.840400244,0.570352397,0.294329988,0.211145574,0.580249831,0.794064831,0.469958165
266,Muth8,0.163766637,0.982529595,3.223952531,0.93898715,5.309235913,0.718684256,1.594425321,3.525275826,2.889833569,8.728218972,1.525052189,13.95466535,12.19617411,1.006955841,28.68284748,2.691245794,0.529889908,2.691245794,0.81210285,0.527092574,0.523108489,0.859040957,0.592240614,0.373676166,0.23988917,0.602590407,0.818117364,0.496960923
267,Muth8,0.164608017,0.979213848,3.261498452,0.946713403,5.35203372,0.72137183,1.60203743,3.518877685,2.924672961,8.766959906,1.345162723,13.78710088,11.55092474,0.882392185,27.56558053,2.37588191,0.497149162,2.37588191,0.834266496,0.53277114,0.548338856,0.876478041,0.608123838,0.447554988,0.249016409,0.623615713,0.840616828,0.516555524
268,Muth8,0.164316848,1.010062709,3.264636874,0.979815289,5.41883172,0.719544113,1.6211344,3.539630711,2.901330351,8.781639575,1.729047532,15.00139154,12.90846447,1.111687595,30.75059113,2.591888189,0.506760292,2.591888189,0.786969189,0.491620237,0.495256703,0.844380048,0.56284528,0.289897298,0.182873978,0.579380586,0.799200062,0.460696886
269,Muth8,0.162300974,1.000396907,3.270103395,0.963003174,5.39580445,0.716123521,1.604802549,3.557920993,2.908245862,8.787092925,2.002584395,15.99420887,14.14668472,1.352438616,33.4959166,2.525963306,0.51104538,2.525963306,0.753267525,0.457974809,0.446840149,0.810678438,0.523817348,0.177558417,0.128795203,0.539033457,0.755714114,0.412549435
270,Muth8,0.161679655,1.014020457,3.2867378,0.921022639,5.383460551,0.713903189,1.593960941,3.550659001,2.899881243,8.758404374,1.928733866,15.83523302,14.30593081,1.460779693,33.53067739,2.400453091,0.483052025,2.400453091,0.762366429,0.463362317,0.440613351,0.795512277,0.523323184,0.207888098,0.13745462,0.533844459,0.736144873,0.411939801
271,Muth8,0.160818711,1.022623926,3.314026117,0.950192393,5.447661147,0.718048096,1.592221081,3.515170276,2.896381081,8.721820534,1.842195282,15.66777506,14.2165907,1.53107001,33.25763105,2.27476263,0.466061935,2.27476263,0.773028591,0.469037273,0.444106704,0.785672664,0.527204849,0.243428637,0.146576058,0.536755587,0.723448599,0.416728481
